student_id,class_id,Semester,year,grade
9241839,6228,Spring,2019,D
9241839,5546,Spring,2019,C
9241839,5467,Spring,2019,D
9241839,9833,Spring,2019,F
9241839,4292,Fall,2020,F
9241839,7553,Fall,2020,B
9241839,2567,Fall,2020,A
9241839,6339,Fall,2020,D
9241839,9863,Spring,2020,C
9241839,9751,Spring,2020,A
9241839,8556,Spring,2020,D
9241839,6753,Spring,2020,B
9241839,2642,Fall,2021,F
9241839,5139,Fall,2021,C
9241839,2854,Fall,2021,A
9241839,4791,Fall,2021,D
9411761,6292,Spring,2018,F
9411761,5586,Spring,2018,A
9411761,7937,Spring,2018,C
9411761,2222,Spring,2018,F
9411761,5678,Fall,2019,D
9411761,1316,Fall,2019,D
9411761,3883,Fall,2019,A
9411761,2393,Fall,2019,D
9411761,4233,Spring,2019,B
9411761,4655,Spring,2019,A
9411761,2748,Spring,2019,F
9411761,7479,Spring,2019,B
9411761,9932,Fall,2020,D
9411761,1932,Fall,2020,C
9411761,9386,Fall,2020,B
9411761,9938,Fall,2020,F
9411761,8439,Spring,2020,D
9411761,2874,Spring,2020,C
9411761,4199,Spring,2020,F
9411761,9389,Spring,2020,F
9411761,8345,Fall,2021,A
9411761,9835,Fall,2021,F
9411761,8297,Fall,2021,D
9411761,3487,Fall,2021,D
3131759,7513,Spring,2017,B
3131759,7244,Spring,2017,F
3131759,8431,Spring,2017,D
3131759,8168,Spring,2017,C
3131759,1688,Fall,2018,F
3131759,1624,Fall,2018,F
3131759,2827,Fall,2018,D
3131759,7139,Fall,2018,A
3131759,3985,Spring,2018,C
3131759,3424,Spring,2018,C
3131759,7762,Spring,2018,F
3131759,1752,Spring,2018,B
3131759,2782,Fall,2019,A
3131759,2178,Fall,2019,D
3131759,6487,Fall,2019,B
3131759,6952,Fall,2019,F
3131759,6988,Spring,2019,A
3131759,7618,Spring,2019,A
3131759,1194,Spring,2019,F
3131759,6521,Spring,2019,F
3131759,4182,Fall,2020,B
3131759,8263,Fall,2020,F
3131759,7475,Fall,2020,D
3131759,5958,Fall,2020,C
3131759,2333,Spring,2020,F
3131759,8773,Spring,2020,D
3131759,1487,Spring,2020,B
3131759,8255,Spring,2020,B
3131759,5334,Fall,2021,F
